Species,ElementalState,ElementSymbol,PhysicalState,dHf0,S0,Cp,TK,TC,dH,dG,logK,dHmCl,dGmCl,dGStableCl
SiCl2(g),n,Si,g,-165640,280.40,50.88,298,25,-165640,-177131.774,31.04762482,-82820,-88565.887,n
SiCl4(g),n,Si,g,-657010,330.73,90.25,298,25,-657010,-617044.028,108.1553639,-164252.5,-154261.007,y
Ge(s),y,Ge,s,0,31.09,23.35,298,25,0,0,0,#DIV/0!,#DIV/0!,n
GeCl(g),n,Ge,g,155180,247.00,36.86,298,25,155180,124066.863,-21.74641696,155180,124066.863,n
GeCl4(g),n,Ge,g,-495800,347.72,96.11,298,25,-495800,-457243.568,80.14556864,-123950,-114310.892,y
Sn(s),y,Sn,s,0,51.55,26.99,298,25,0,0,0,#DIV/0!,#DIV/0!,n
SnCl4(g),n,Sn,g,-471500,365.80,98.30,298,25,-471500,-432234.328,75.76195364,-117875,-108058.582,y
Pb(s),y,Pb,s,0,64.81,26.44,298,25,0,0,0,#DIV/0!,#DIV/0!,n
PbCl2(s),n,Pb,s,-286860,136.00,0.00,298,25,-286860,-241618.534,42.35085227,-143430,-120809.267,y
Al(s),y,Al,s,0,28.33,24.35,298,25,0,0,0,#DIV/0!,#DIV/0!,n
AlCl3(g),n,Al,g,-583200,140.00,0.00,298,25,-583200,-516793.531,90.58347522,-194400,-172264.5103,y
AlCl3(s),n,Al,s,-704200,110.67,91.84,298,25,-704200,-629053.191,110.2603278,-234733.3333,-209684.397,n
Ga(s),y,Ga,s,0,40.88,25.86,298,25,0,0,0,#DIV/0!,#DIV/0!,n
GaCl3(s),n,Ga,s,-524700,142.00,0.00,298,25,-524700,-455149.631,79.77854374,-174900,-151716.5437,y
GaCl3(g),n,Ga,g,-447700,,0.00,298,25,-447700,-335833.631,58.86485717,-149233.3333,-111944.5437,n
In(s),y,In,s,0,57.82,26.74,298,25,0,0,0,#DIV/0!,#DIV/0!,n
InCl3(g),n,In,g,-374000,,0.00,298,25,-374000,-257085.511,45.06190116,-124666.6667,-85695.17033,y
InCl3(s),n,In,s,-537200,,0.00,298,25,-537200,-420285.511,73.66756719,-179066.6667,-140095.1703,n
Tl(s),y,Tl,s,0,64.18,26.32,298,25,0,0,0,#DIV/0!,#DIV/0!,n
TlCl3(s),n,Tl,s,-315100,,0.00,298,25,-315100,-196290.231,34.40571565,-105033.3333,-65430.077,y
Zn(s),y,Zn,s,0,41.63,25.40,298,25,0,0,0,#DIV/0!,#DIV/0!,n
ZnCl2(g),n,Zn,g,-266100,,0.00,298,25,-266100,-187238.174,32.81907276,-133050,-93619.087,y
ZnCl2(s),n,Zn,s,-415050,111.46,71.34,298,25,-415050,-369403.254,64.74893453,-207525,-184701.627,n
Cd(s),y,Cd,s,0,51.76,25.98,298,25,0,0,0,#DIV/0!,#DIV/0!,n
CdCl2(s),n,Cd,s,-391500,115.27,74.68,298,25,-391500,-343969.894,60.29097986,-195750,-171984.947,y
Hg(l),y,Hg,l,0,76.02,27.98,298,25,0,0,0,#DIV/0!,#DIV/0!,n
HgCl2(s),n,Hg,s,-224300,146.00,0.00,298,25,-224300,-178697.954,31.32214456,-112150,-89348.977,y
Ag(s),y,Ag,s,0,42.55,25.35,298,25,0,0,0,#DIV/0!,#DIV/0!,n
AgCl(s),n,Ag,s,-127068,96.20,50.79,298,25,-127068,-109827.657,19.25057155,-127068,-109827.657,y
AgCl(g),n,Ag,g,,245.92,35.86,298,25,0,-27376.217,4.798498289,0,-27376.217,n
Au(s),y,Au,s,0,46.40,25.42,298,25,0,0,0,#DIV/0!,#DIV/0!,n
AuCl(s),n,Au,s,197000,,0.00,298,25,197000,244055.243,-42.77795818,197000,244055.243,y
Pd(s),y,Pd,s,0,37.57,25.98,298,25,0,0,0,#DIV/0!,#DIV/0!,n
PdCl2(s),n,Pd,s,-198700,,0.00,298,25,-198700,-121048.054,21.21728068,-99350,-60524.027,y
Rh(s),y,Rh,s,0,31.51,24.98,298,25,0,0,0,#DIV/0!,#DIV/0!,n
RhCl3(g),n,Rh,g,66900,,0.00,298,25,66900,142746.066,-25.02050424,33450,71373.033,n
RhCl3(s),n,Rh,s,-299200,,0.00,298,25,-299200,-223353.934,39.14943654,-149600,-111676.967,y
Ru(s),y,Ru,s,0,28.53,24.06,298,25,0,0,0,#DIV/0!,#DIV/0!,n
RuCl4(g),n,Ru,g,-51900,,0.00,298,25,-51900,89514.112,-15.69001711,-12975,22378.528,y
RuCl3(g),n,Ru,g,-1300,,0.00,298,25,-1300,106886.069,-18.73497055,-433.3333333,35628.68967,n
RuCl3(s),n,Ru,s,-205000,,0.00,298,25,-205000,-96813.931,16.96952805,-68333.33333,-32271.31033,n
Pt(s),y,Pt,s,0,41.63,25.86,298,25,0,0,0,#DIV/0!,#DIV/0!,n
PtCl4(s),n,Pt,s,-231800,,0.00,298,25,-231800,-86482.088,15.1585645,-57950,-21620.522,y
Ir(s),y,Ir,s,0,35.48,25.10,298,25,0,0,0,#DIV/0!,#DIV/0!,n
IrCl3(s),n,Ir,s,-245600,,0.00,298,25,-245600,-135342.831,23.72286657,-81866.66667,-45114.277,y
Os(s),y,Os,s,0,32.60,24.70,298,25,0,0,0,#DIV/0!,#DIV/0!,n
OsCl4(g),n,Os,g,-79000,,0.00,298,25,-79000,63626.972,-11.15252397,-19750,15906.743,y
OsCl4(s),n,Os,s,-254800,,0.00,298,25,-254800,-112173.028,19.66166775,-63700,-28043.257,n
Re(s),y,Re,s,0,36.86,25.48,298,25,0,0,0,#DIV/0!,#DIV/0!,n
ReCl5(g),n,Re,g,-318000,,0.00,298,25,-318000,-140875.505,24.69263265,-63600,-28175.101,y
ReCl5(s),n,Re,s,-372000,,0.00,298,25,-372000,-194875.505,34.15774273,-74400,-38975.101,n
Mo(s),y,Mo,s,0,28.66,24.06,298,25,0,0,0,#DIV/0!,#DIV/0!,n
MoCl4(g),n,Mo,g,-377000,,0.00,298,25,-377000,-235547.148,41.28666085,-94250,-58886.787,n
MoCl4(s),n,Mo,s,-480000,,0.00,298,25,-480000,-338547.148,59.34048194,-120000,-84636.787,n
MoCl5(s),n,Mo,s,-527200,,0.00,298,25,-527200,-352519.105,61.78948399,-105440,-70503.821,y
W(s),y,W,s,0,32.64,24.27,298,25,0,0,0,#DIV/0!,#DIV/0!,n
WCl4(g),n,W,g,-305000,,0.00,298,25,-305000,-162361.108,28.4586252,-76250,-40590.277,n
WCl4(s),n,W,s,-496000,,0.00,298,25,-496000,-353361.108,61.93707012,-124000,-88340.277,n
WCl5(g),n,W,g,-421700,,0.00,298,25,-421700,-245833.065,43.08957449,-84340,-49166.613,y
WCl5(s),n,W,s,-496200,,0.00,298,25,-496200,-320333.065,56.14792081,-99240,-64066.613,n
V(s),y,V,s,0,28.91,24.89,298,25,0,0,0,#DIV/0!,#DIV/0!,n
VCl2(g),n,V,g,-256500,,0.00,298,25,-256500,-181428.734,31.80079518,-128250,-90714.367,n
VCl2(s),n,V,s,-452000,97.10,72.22,298,25,-452000,-405864.534,71.13986099,-226000,-202932.267,n
VCl4(g),n,V,g,-525000,362.40,96.20,298,25,-525000,-491467.848,86.14439415,-131250,-122866.962,y
Nb(s),y,Nb,s,0,36.40,24.60,298,25,0,0,0,#DIV/0!,#DIV/0!,n
NbCl5(g),n,Nb,g,-703700,400.56,120.83,298,25,-703700,-646079.465,113.24469,-140740,-129215.893,y
NbCl5(s),n,Nb,s,-797500,210.50,148.10,298,25,-797500,-683241.585,119.7584596,-159500,-136648.317,n
Ta(s),y,Ta,s,0,41.51,25.36,298,25,0,0,0,#DIV/0!,#DIV/0!,n
TaCl4(g),n,Ta,g,-560700,,0.00,298,25,-560700,-415417.848,72.81436412,-140175,-103854.462,y
TaCl4(s),n,Ta,s,-701700,,0.00,298,25,-701700,-556417.848,97.52881822,-175425,-139104.462,n
Ti(s),y,Ti,s,0,30.63,25.02,298,25,0,0,0,#DIV/0!,#DIV/0!,n
TiCl4(g),n,Ti,g,-763200,354.90,95.40,298,25,-763200,-726920.288,127.4144546,-190800,-181730.072,y
TiCl4(l),n,Ti,l,-804200,252.34,145.18,298,25,-804200,-737357.408,129.2438711,-201050,-184339.352,n
Zr(s),y,Zr,s,0,38.99,25.36,298,25,0,0,0,#DIV/0!,#DIV/0!,n
ZrCl4(g),n,Zr,g,-870300,368.30,98.28,298,25,-870300,-835522.208,146.4501792,-217575,-208880.552,y
ZrCl4(s),n,Zr,s,-980520,181.60,119.79,298,25,-980520,-890105.608,156.0175475,-245130,-222526.402,n
Hf(s),y,Hf,s,0,43.56,25.73,298,25,0,0,0,#DIV/0!,#DIV/0!,n
HfCl4(g),n,Hf,g,-884000,,0.00,298,25,-884000,-738106.948,129.3752503,-221000,-184526.737,n
HfCl(s),n,Hf,s,-990350,190.80,120.50,298,25,-990350,-901315.348,157.9823887,-247587.5,-225328.837,y
Sc(s),y,Sc,s,0,34.64,25.52,298,25,0,0,0,#DIV/0!,#DIV/0!,n
ScCl3(s),n,Sc,s,-925000,,0.00,298,25,-925000,-814993.151,142.8518499,-308333.3333,-271664.3837,y
Y(s),y,Y,s,0,44.43,26.53,298,25,0,0,0,#DIV/0!,#DIV/0!,n
YCl3(s),n,Y,s,-1000000,,0.00,298,25,-1000000,-887075.731,155.4864712,-333333.3333,-295691.9103,n
YCl3(g),n,Y,g,-750200,,75.00,298,25,-750200,-637275.731,111.7015731,-250066.6667,-212425.2437,y
Lu(s),y,Lu,s,0,50.96,26.86,298,25,0,0,0,#DIV/0!,#DIV/0!,n
LuCl3(s),n,Lu,s,-945600,,0.00,298,25,-945600,-830729.791,145.6101652,-315200,-276909.9303,n
LuCl3(g),n,Lu,g,-649000,,0.00,298,25,-649000,-534129.791,93.62217169,-216333.3333,-178043.2637,y
Yb(s),y,Yb,s,0,59.87,26.74,298,25,0,0,0,#DIV/0!,#DIV/0!,n
YbCl2(s),n,Yb,s,-799600,,0.00,298,25,-799600,-715302.654,125.3781178,-399800,-357651.327,y
YbCl3(s),n,Yb,s,-959800,,0.00,298,25,-959800,-842274.611,147.6337392,-319933.3333,-280758.2037,n
Tm(s),y,Tm,s,0,74.01,27.03,298,25,0,0,0,#DIV/0!,#DIV/0!,n
TmCl2(s),n,Tm,s,-987,,0.00,298,25,-986600,-898088.934,157.4168634,-493300,-449044.467,y
Er(s),y,Er,s,0,73.18,28.12,298,25,0,0,0,#DIV/0!,#DIV/0!,n
ErCl3(s),n,Er,s,-998700,,0.00,298,25,-998700,-877208.231,153.7568977,-332900,-292402.7437,n
ErCl3(g),n,Er,g,-699000,,0.00,298,25,-699000,-577508.231,101.2255367,-233000,-192502.7437,y
Ho(s),y,Ho,s,0,75.30,27.15,298,25,0,0,0,#DIV/0!,#DIV/0!,n
HoCl3(s),n,Ho,s,-1005400,,0.00,298,25,-1005400,-883276.471,154.8205376,-335133.3333,-294425.4903,n
HoCl3(g),n,Ho,g,-703000,,0.00,298,25,-703000,-580876.471,101.8159212,-234333.3333,-193625.4903,y
Dy(s),y,Dy,s,0,74.77,28.16,298,25,0,0,0,#DIV/0!,#DIV/0!,n
DyCl3(s),n,Dy,s,-1000000,,0.00,298,25,-1000000,-878034.411,153.9017103,-333333.3333,-292678.137,y
Tb(s),y,Tb,s,0,73.22,28.91,298,25,0,0,0,#DIV/0!,#DIV/0!,n
TbCl3(s),n,Tb,s,-997000,,0.00,298,25,-997000,-875496.311,153.4568326,-332333.3333,-291832.1037,y
Gd(s),y,Gd,s,0,68.07,37.04,298,25,0,0,0,#DIV/0!,#DIV/0!,n
GdCl3(s),n,Gd,s,-1008000,,0.00,298,25,-1008000,-921259.054,161.4781178,-504000,-460629.527,y
Eu(s),y,Eu,s,0,77.78,27.66,298,25,0,0,0,#DIV/0!,#DIV/0!,n
EuCl2(s),n,Eu,s,-824000,,0.00,298,25,-824000,-734365.474,128.7194454,-412000,-367182.737,n
EuCl2(g),n,Eu,g,-460000,,0.00,298,25,-460000,-370365.474,64.91759227,-230000,-185182.737,y
Sm(s),y,Sm,s,0,69.58,29.54,298,25,0,0,0,#DIV/0!,#DIV/0!,n
SmCl2(s),n,Sm,s,-815500,,0.00,298,25,-815500,-728309.074,127.6578808,-407750,-364154.537,y
SmCl3(s),n,Sm,s,-1025900,,0.00,298,25,-1025900,-905481.031,158.7125488,-341966.6667,-301827.0103,n
Nd(s),y,Nd,s,0,71.50,27.45,298,25,0,0,0,#DIV/0!,#DIV/0!,n
NdCl3(s),n,Nd,s,-1041000,,113.00,298,25,-1041000,-953236.914,167.0831912,-520500,-476618.457,n
NdCl3(g),n,Nd,g,-724000,,0.00,298,25,-724000,-636236.914,111.5194895,-362000,-318118.457,y
Pr(s),y,Pr,s,0,73.20,27.20,298,25,0,0,0,#DIV/0!,#DIV/0!,n
PrCl3(s),n,Pr,s,-1072700,,0.00,298,25,-1072700,-951202.271,166.7265594,-357566.6667,-317067.4237,y
Ce(s),y,Ce,s,0,72.00,26.94,298,25,0,0,0,#DIV/0!,#DIV/0!,n
CeCl3(s),n,Ce,s,-1053500,,0.00,298,25,-1053500,-932359.871,163.423867,-351166.6667,-310786.6237,y
La(s),y,La,s,0,56.90,27.11,298,25,0,0,0,#DIV/0!,#DIV/0!,n
LaCl3(s),n,La,s,-1071100,,108.80,298,25,-1071100,-954459.671,167.2975159,-357033.3333,-318153.2237,y
LaCl3(g),n,La,g,-741000,,0.00,298,25,-741000,-624359.671,109.4376485,-247000,-208119.8903,n
U(s),y,U,s,0,50.21,27.67,298,25,0,0,0,#DIV/0!,#DIV/0!,n
UCl4(s),n,U,s,-1019200,197.10,122.01,298,25,-1019200,-930061.048,163.0209297,-254800,-232515.262,n
UCl4(g),n,U,g,-809600,419.00,0.00,298,25,-809600,-786587.248,137.8728684,-202400,-196646.812,y
UCl4(s),n,U,s,-1092000,285.80,175.70,298,25,-282400,-153237.562,26.85945173,-47066.66667,-25539.59367,n
UCl4(g),n,U,g,-1013000,431.00,0.00,298,25,-203400,-117507.162,20.59663378,-33900,-19584.527,n
Pa(s),y,Pa,s,0,51.90,0.00,298,25,0,0,0,#DIV/0!,#DIV/0!,n
PaCl4(s),n,Pa,s,-1043000,,0.00,298,25,-1043000,-894621.628,156.8091147,-260750,-223655.407,y
Th(s),y,Th,s,0,53.39,27.32,298,25,0,0,0,#DIV/0!,#DIV/0!,n
ThCl4(s),n,Th,s,-1186600,190.40,0.00,298,25,-1186600,-1094516.808,191.8467051,-296650,-273629.202,n
ThCl4(g),n,Th,g,-966100,397.50,101.70,298,25,-966100,-935732.608,164.0150397,-241525,-233933.152,y
Be(s),y,Be,s,0,9.50,16.44,298,25,0,0,0,#DIV/0!,#DIV/0!,n
BeCl2(s),n,Be,s,-495800,75.81,62.43,298,25,-495800,-449104.294,78.71891818,-247900,-224552.147,y
