Species,ElementalState,ElementSymbol,PhysicalState,dHf0,S0,Cp,TK,TC,dH,dG,logK,dHmCl,dGmCl,dGStableCl
NiCl2(g),n,Ni,g,,,0.00,600,327,0,0,0,#DIV/0!,#DIV/0!,n
NiCl3(s),n,Ni,s,,,0.00,600,327,0,0,0,#DIV/0!,#DIV/0!,n
NiCl3(g),n,Ni,g,,,0.00,600,327,0,0,0,#DIV/0!,#DIV/0!,n
NiCl4(s),n,Ni,s,,,0.00,600,327,0,0,0,#DIV/0!,#DIV/0!,n
NiCl4(g),n,Ni,g,,,0.00,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Co(s),y,Co,s,0,30.00,24.80,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Co(g),n,Co,g,424700,179.50,230.00,600,327,486670.4,396970.4,-34.55851308,#DIV/0!,#DIV/0!,n
CoCl2(s),n,Co,s,-312500,109.20,78.50,600,327,-307234.0903,-220949.8903,19.23493458,-153617.0451,-110474.9451,y
Mn(s),y,Mn,s,0,32.00,26.30,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Mn(g),n,Mn,g,280700,173.70,20.80,600,327,279039,194019,-16.89044863,#DIV/0!,#DIV/0!,n
MnCl2(s),n,Mn,s,-481300,118.20,72.90,600,327,-478178.2903,-396094.0903,34.48222538,-239089.1451,-198047.0451,y
MnCl2(g),n,Mn,g,-263600,,0.00,600,327,-282494.0903,-129489.8903,11.27282555,-141247.0451,-64744.94515,n
Cu(s),y,Cu,s,0,33.20,24.40,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Cu(g),n,Cu,g,337400,166.40,20.70,600,327,336282.6,256362.6,-22.31781076,#DIV/0!,#DIV/0!,n
CuCl2(s),n,Cu,s,-220100,108.10,71.90,600,327,-216706.4903,-127842.2903,11.12939267,-108353.2451,-63921.14515,n
CuCl(s),n,Cu,s,-137200,86.20,48.50,600,327,-135397.5451,-100295.4451,8.73128438,-135397.5451,-100295.4451,y
Ti(s),y,Ti,s,0,30.70,25.00,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Ti(g),n,Ti,g,473000,180.30,24.40,600,327,472818.8,383058.8,-33.34742981,#DIV/0!,#DIV/0!,n
TiCl2(s),n,Ti,s,-513800,87.40,69.80,600,327,-511221.8903,-411437.6903,35.81797233,-255610.9451,-205718.8451,n
TiCl4(g),n,Ti,g,-763200,353.20,95.40,600,327,-763842.1806,-689733.7806,60.04521717,-190960.5451,-172433.4451,y
Sb(s),y,Sb,s,0,45.69,25.23,600,327,0,0,0,#DIV/0!,#DIV/0!,n
SbCl3(s),n,Sb,s,-382170,184.10,107.90,600,327,-373630.8954,-255970.5954,22.28368455,-124543.6318,-85323.53181,n
SbCl3(g),n,Sb,g,-313800,337.80,76.69,600,327,-314686.3154,-289246.0154,25.18049761,-104895.4385,-96415.33848,y
As(s),y,As,s,0,35.10,24.64,600,327,0,0,0,#DIV/0!,#DIV/0!,n
AsCl3(g),n,As,g,-261500,327.17,75.73,600,327,-262498.0554,-237033.7554,20.63512579,-87499.35181,-79011.25181,y
Bi(s),y,Bi,s,0,56.74,25.52,600,327,0,0,0,#DIV/0!,#DIV/0!,n
BiCl3(g),n,Bi,g,-379100,177.00,105.00,600,327,-371524.2754,-242973.9754,21.15225545,-123841.4251,-80991.32515,y
Si(s),y,Si,s,0,18.83,20.00,600,327,0,0,0,#DIV/0!,#DIV/0!,n
SiCl2(g),n,Si,g,-165640,280.40,50.88,600,327,-167265.7303,-190403.5303,16.57570159,-83632.86515,-95201.76515,n
SiCl4(g),n,Si,g,-657010,330.73,90.25,600,327,-657697.4806,-577229.0806,50.25104827,-164424.3701,-144307.2701,y
Ge(s),y,Ge,s,0,31.09,23.35,600,327,0,0,0,#DIV/0!,#DIV/0!,n
GeCl(g),n,Ge,g,155180,247.00,36.86,600,327,153785.1809,91141.28085,-7.934362729,153785.1809,91141.28085,n
GeCl4(g),n,Ge,g,-495800,347.72,96.11,600,327,-495728.5546,-418098.1546,36.39780332,-123932.1386,-104524.5386,y
Sn(s),y,Sn,s,0,51.55,26.99,600,327,0,0,0,#DIV/0!,#DIV/0!,n
SnCl4(g),n,Sn,g,-471500,365.80,98.30,600,327,-471867.3606,-392808.9606,34.1962363,-117966.8401,-98202.24015,y
Pb(s),y,Pb,s,0,64.81,26.44,600,327,0,0,0,#DIV/0!,#DIV/0!,n
PbCl2(s),n,Pb,s,-286860,136.00,0.00,600,327,-305796.3703,-214706.1703,18.69138352,-152898.1851,-107353.0851,y
Al(s),y,Al,s,0,28.33,24.35,600,327,0,0,0,#DIV/0!,#DIV/0!,n
AlCl3(g),n,Al,g,-583200,140.00,0.00,600,327,-606980.9354,-473276.6354,41.2014014,-202326.9785,-157758.8785,y
AlCl3(s),n,Al,s,-704200,110.67,91.84,600,327,-700245.2554,-548942.9554,47.78858148,-233415.0851,-182980.9851,n
Ga(s),y,Ga,s,0,40.88,25.86,600,327,0,0,0,#DIV/0!,#DIV/0!,n
GaCl3(s),n,Ga,s,-524700,142.00,0.00,600,327,-548936.9554,-408902.6554,35.59728324,-182978.9851,-136300.8851,y
GaCl3(g),n,Ga,g,-447700,,0.00,600,327,-471936.9554,-246702.6554,21.47685808,-157312.3185,-82234.21848,n
In(s),y,In,s,0,57.82,26.74,600,327,0,0,0,#DIV/0!,#DIV/0!,n
InCl3(g),n,In,g,-374000,,0.00,600,327,-398502.7154,-163104.4154,14.19915962,-132834.2385,-54368.13848,y
InCl3(s),n,In,s,-537200,,0.00,600,327,-561702.7154,-326304.4154,28.40664042,-187234.2385,-108768.1385,n
Tl(s),y,Tl,s,0,64.18,26.32,600,327,0,0,0,#DIV/0!,#DIV/0!,n
TlCl3(s),n,Tl,s,-315100,,0.00,600,327,-339475.8754,-100261.5754,8.728335831,-113158.6251,-33420.52515,y
Zn(s),y,Zn,s,0,41.63,25.40,600,327,0,0,0,#DIV/0!,#DIV/0!,n
ZnCl2(g),n,Zn,g,-266100,,0.00,600,327,-284722.2903,-125940.0903,10.96379543,-142361.1451,-62970.04515,y
ZnCl2(s),n,Zn,s,-415050,111.46,71.34,600,327,-412127.6103,-320221.4103,27.8770805,-206063.8051,-160110.7051,n
Cd(s),y,Cd,s,0,51.76,25.98,600,327,0,0,0,#DIV/0!,#DIV/0!,n
CdCl2(s),n,Cd,s,-391500,115.27,74.68,600,327,-387744.0903,-292045.8903,25.42424251,-193872.0451,-146022.9451,y
Hg(l),y,Hg,l,0,76.02,27.98,600,327,0,0,0,#DIV/0!,#DIV/0!,n
HgCl2(s),n,Hg,s,-224300,146.00,0.00,600,327,-243702.3563,-151886.1563,13.22254687,-121851.1781,-75943.07815,y
Ag(s),y,Ag,s,0,42.55,25.35,600,327,0,0,0,#DIV/0!,#DIV/0!,n
AgCl(s),n,Ag,s,-127068,96.20,50.79,600,327,-124860.8651,-90148.76515,7.847958637,-124860.8651,-90148.76515,y
AgCl(g),n,Ag,g,,245.92,35.86,600,327,-2301.725146,-57421.62515,4.998876449,-2301.725146,-57421.62515,n
Au(s),y,Au,s,0,46.40,25.42,600,327,0,0,0,#DIV/0!,#DIV/0!,n
AuCl(s),n,Au,s,197000,,0.00,600,327,183848.0189,278590.1189,-24.25284169,183848.0189,278590.1189,y
Pd(s),y,Pd,s,0,37.57,25.98,600,327,0,0,0,#DIV/0!,#DIV/0!,n
PdCl2(s),n,Pd,s,-198700,,0.00,600,327,-217497.4503,-61151.25029,5.323561361,-108748.7251,-30575.62515,y
Rh(s),y,Rh,s,0,31.51,24.98,600,327,0,0,0,#DIV/0!,#DIV/0!,n
RhCl3(g),n,Rh,g,67,,0.00,600,327,48404.54971,201114.7497,-17.50817368,24202.27485,100557.3749,n
RhCl3(s),n,Rh,s,-299,,0.00,600,327,-317695.4503,-164985.2503,14.36289691,-158847.7251,-82492.62515,y
Ru(s),y,Ru,s,0,28.53,24.06,600,327,0,0,0,#DIV/0!,#DIV/0!,n
RuCl4(g),n,Ru,g,-51900,,0.00,600,327,-81069.10058,203657.2994,-17.72951698,-20267.27515,50914.32485,y
RuCl3(g),n,Ru,g,-1300,,0.00,600,327,-24993.35544,192830.9446,-16.7870217,-8331.11848,64276.98152,n
RuCl3(s),n,Ru,s,-205000,,0.00,600,327,-228693.3554,-10869.05544,0.946212601,-76231.11848,-3623.01848,n
Pt(s),y,Pt,s,0,41.63,25.86,600,327,0,0,0,#DIV/0!,#DIV/0!,n
PtCl4(s),n,Pt,s,-231800,,0.00,600,327,-261512.7006,31073.69942,-2.705140856,-65378.17515,7768.424854,y
Ir(s),y,Ir,s,0,35.48,25.10,600,327,0,0,0,#DIV/0!,#DIV/0!,n
IrCl3(s),n,Ir,s,-245600,,0.00,600,327,-269607.4354,-47613.13544,4.14499208,-89869.14515,-15871.04515,y
Os(s),y,Os,s,0,32.60,24.70,600,327,0,0,0,#DIV/0!,#DIV/0!,n
OsCl4(g),n,Os,g,-79000,,0.00,600,327,-108362.3806,178806.0194,-15.56607284,-27090.59515,44701.50485,y
OsCl4(s),n,Os,s,-254800,,0.00,600,327,-284162.3806,3006.019415,-0.26169095,-71040.59515,751.5048538,n
Re(s),y,Re,s,0,36.86,25.48,600,327,0,0,0,#DIV/0!,#DIV/0!,n
ReCl5(g),n,Re,g,-318000,,0.00,600,327,-353073.6857,3552.814269,-0.309292528,-70614.73715,710.5628538,y
ReCl5(g),n,Re,s,-372000,,0.00,600,327,-407073.6857,-50447.18573,4.391712148,-81414.73715,-10089.43715,n
Mo(s),y,Mo,s,0,28.66,24.06,600,327,0,0,0,#DIV/0!,#DIV/0!,n
MoCl4(g),n,Mo,g,-377000,,0.00,600,327,-406169.1006,-121364.7006,10.56548194,-101542.2751,-30341.17515,n
MoCl4(s),n,Mo,s,-480000,,0.00,600,327,-509169.1006,-224364.7006,19.53221308,-127292.2751,-56091.17515,n
MoCl5(s),n,Mo,s,-527200,,0.00,600,327,-561844.8457,-210138.3457,18.29372862,-112368.9691,-42027.66915,y
W(s),y,W,s,0,32.64,24.27,600,327,0,0,0,#DIV/0!,#DIV/0!,n
WCl4(g),n,W,g,-305000,,0.00,600,327,-334232.5206,-47040.12058,4.095107903,-83558.13015,-11760.03015,n
WCl4(s),n,W,s,-496000,,0.00,600,327,-525232.5206,-238040.1206,20.72273555,-131308.1301,-59510.03015,n
WCl5(g),n,W,g,-421700,,0.00,600,327,-456408.2657,-102313.7657,8.906990575,-91281.65315,-20462.75315,y
WCl5(s),n,W,s,-496200,,0.00,600,327,-530908.2657,-176813.7657,15.39263591,-106181.6531,-35362.75315,n
V(s),y,V,s,0,28.91,24.89,600,327,0,0,0,#DIV/0!,#DIV/0!,n
VCl2(g),n,V,g,-256500,,0.00,600,327,-274968.2703,-123818.0703,10.77906162,-137484.1351,-61909.03515,n
VCl2(s),n,V,s,-452000,97.10,72.22,600,327,-448657.8303,-355767.6303,30.9715795,-224328.9151,-177883.8151,n
VCl4(g),n,V,g,-525000,362.40,96.20,600,327,-525367.3606,-457852.9606,39.85868349,-131341.8401,-114463.2401,y
Nb(s),y,Nb,s,0,36.40,24.60,600,327,0,0,0,#DIV/0!,#DIV/0!,n
NbCl5(g),n,Nb,g,-703700,400.56,120.83,600,327,-702017.2657,-586002.7657,51.01484706,-140403.4531,-117200.5531,y
NbCl5(s),n,Nb,s,-797500,210.50,148.10,600,327,-787581.7257,-557531.2257,48.53623886,-157516.3451,-111506.2451,n
Ta(s),y,Ta,s,0,41.51,25.36,600,327,0,0,0,#DIV/0!,#DIV/0!,n
TaCl4(g),n,Ta,g,-560700,,0.00,600,327,-590261.7006,-297747.3006,25.92058245,-147565.4251,-74436.82515,y
TaCl4(s),n,Ta,s,-701700,,0.00,600,327,-731261.7006,-438747.3006,38.19542799,-182815.4251,-109686.8251,n
Ti(s),y,Ti,s,0,30.63,25.02,600,327,0,0,0,#DIV/0!,#DIV/0!,n
TiCl4(g),n,Ti,g,-763200,354.90,95.40,600,327,-763848.2206,-690801.8206,60.13819608,-190962.0551,-172700.4551,y
TiCl4(l),n,Ti,l,-804200,252.34,145.18,600,327,-789814.6606,-655232.2606,57.04166519,-197453.6651,-163808.0651,n
Zr(s),y,Zr,s,0,38.99,25.36,600,327,0,0,0,#DIV/0!,#DIV/0!,n
ZrCl4(g),n,Zr,g,-870300,368.30,98.28,600,327,-870181.1406,-800158.7406,69.65833297,-217545.2851,-200039.6851,y
ZrCl4(s),n,Zr,s,-980520,181.60,119.79,600,327,-973905.1206,-791862.7206,68.93611762,-243476.2801,-197965.6801,n
Hf(s),y,Hf,s,0,43.56,25.73,600,327,0,0,0,#DIV/0!,#DIV/0!,n
HfCl4(g),n,Hf,g,-884000,,0.00,600,327,-913673.4406,-619929.0406,53.9683207,-228418.3601,-154982.2601,n
HfCl(s),n,Hf,s,-990350,190.80,120.50,600,327,-983632.4406,-804368.0406,70.02477628,-245908.1101,-201092.0101,y
Sc(s),y,Sc,s,0,34.64,25.52,600,327,0,0,0,#DIV/0!,#DIV/0!,n
ScCl3(s),n,Sc,s,-925000,,0.00,600,327,-949134.2754,-727643.9754,63.34551353,-316378.0918,-242547.9918,y
Y(s),y,Y,s,0,44.43,26.53,600,327,0,0,0,#DIV/0!,#DIV/0!,n
YCl3(s),n,Y,s,-1000000,,0.00,600,327,-1024439.295,-797074.9954,69.38987556,-341479.7651,-265691.6651,n
YCl3(g),n,Y,g,-750200,,75.00,600,327,-751989.2954,-524624.9954,45.67156586,-250663.0985,-174874.9985,y
Lu(s),y,Lu,s,0,50.96,26.86,600,327,0,0,0,#DIV/0!,#DIV/0!,n
LuCl3(s),n,Lu,s,-945600,,0.00,600,327,-970138.9554,-738856.6554,64.32164058,-323379.6518,-246285.5518,n
LuCl3(g),n,Lu,g,-649000,,0.00,600,327,-673538.9554,-442256.6554,38.50093713,-224512.9851,-147418.8851,y
Yb(s),y,Yb,s,0,59.87,26.74,600,327,0,0,0,#DIV/0!,#DIV/0!,n
YbCl2(s),n,Yb,s,-799600,,0.00,600,327,-818626.9703,-648900.7703,56.49047324,-409313.4851,-324450.3851,y
YbCl3(s),n,Yb,s,-959800,,0.00,600,327,-984302.7154,-747674.4154,65.08927634,-328100.9051,-249224.8051,n
Tm(s),y,Tm,s,0,74.01,27.03,600,327,0,0,0,#DIV/0!,#DIV/0!,n
TmCl2(s),n,Tm,s,-987,,0.00,600,327,-1005714.55,-827504.3503,72.03892258,-502857.2751,-413752.1751,y
Er(s),y,Er,s,0,73.18,28.12,600,327,0,0,0,#DIV/0!,#DIV/0!,n
ErCl3(s),n,Er,s,-998700,,0.00,600,327,-1023619.475,-779005.1754,67.81679577,-341206.4918,-259668.3918,n
ErCl3(g),n,Er,g,-699000,,0.00,600,327,-723919.4754,-479305.1754,41.72621982,-241306.4918,-159768.3918,y
Ho(s),y,Ho,s,0,75.30,27.15,600,327,0,0,0,#DIV/0!,#DIV/0!,n
HoCl3(s),n,Ho,s,-1005400,,0.00,600,327,-1030026.535,-784140.2354,68.26383172,-343342.1785,-261380.0785,n
HoCl3(g),n,Ho,g,-703000,,0.00,600,327,-727626.5354,-481740.2354,41.93820554,-242542.1785,-160580.0785,y
Dy(s),y,Dy,s,0,74.77,28.16,600,327,0,0,0,#DIV/0!,#DIV/0!,n
DyCl3(s),n,Dy,s,-1000000,,0.00,600,327,-1024931.555,-779363.2554,67.84796866,-341643.8518,-259787.7518,y
Tb(s),y,Tb,s,0,73.22,28.91,600,327,0,0,0,#DIV/0!,#DIV/0!,n
TbCl3(s),n,Tb,s,-997000,,0.00,600,327,-1022158.055,-777519.7554,67.68748158,-340719.3518,-259173.2518,y
Gd(s),y,Gd,s,0,68.07,37.04,600,327,0,0,0,#DIV/0!,#DIV/0!,n
GdCl3(s),n,Gd,s,-1008000,,0.00,600,327,-1030137.57,-855491.3703,74.47535058,-515068.7851,-427745.6851,y
Eu(s),y,Eu,s,0,77.78,27.66,600,327,0,0,0,#DIV/0!,#DIV/0!,n
EuCl2(s),n,Eu,s,-824000,,0.00,600,327,-843304.8103,-662832.6103,57.70331851,-421652.4051,-331416.3051,n
EuCl2(g),n,Eu,g,-460000,,0.00,600,327,-479304.8103,-298832.6103,26.01506478,-239652.4051,-149416.3051,y
Sm(s),y,Sm,s,0,69.58,29.54,600,327,0,0,0,#DIV/0!,#DIV/0!,n
SmCl2(s),n,Sm,s,-815500,,0.00,600,327,-835372.5703,-659820.3703,57.44108603,-417686.2851,-329910.1851,y
SmCl3(s),n,Sm,s,-1025900,,0.00,600,327,-1051248.315,-808794.0154,70.41008237,-350416.1051,-269598.0051,n
Nd(s),y,Nd,s,0,71.50,27.45,600,327,0,0,0,#DIV/0!,#DIV/0!,n
NdCl3(s),n,Nd,s,-1041000,,113.00,600,327,-1026115.39,-849411.1903,73.9460366,-513057.6951,-424705.5951,n
NdCl3(g),n,Nd,g,-724000,,0.00,600,327,-743241.3903,-566537.1903,49.32025889,-371620.6951,-283268.5951,y
Pr(s),y,Pr,s,0,73.20,27.20,600,327,0,0,0,#DIV/0!,#DIV/0!,n
PrCl3(s),n,Pr,s,-1072700,,0.00,600,327,-1097341.635,-852715.3354,74.23368108,-365780.5451,-284238.4451,y
Ce(s),y,Ce,s,0,72.00,26.94,600,327,0,0,0,#DIV/0!,#DIV/0!,n
CeCl3(s),n,Ce,s,-1053500,,0.00,600,327,-1078063.115,-834156.8154,72.61805721,-359354.3718,-278052.2718,y
La(s),y,La,s,0,56.90,27.11,600,327,0,0,0,#DIV/0!,#DIV/0!,n
LaCl3(s),n,La,s,-1071100,,108.80,600,327,-1062856.855,-828010.5554,72.0829906,-354285.6185,-276003.5185,y
LaCl3(g),n,La,g,-741,,0.00,600,327,-765614.4554,-530768.1554,46.20636259,-255204.8185,-176922.7185,n
U(s),y,U,s,0,50.21,27.67,600,327,0,0,0,#DIV/0!,#DIV/0!,n
UCl4(s),n,U,s,-1019200,197.10,122.01,600,327,-1012610.791,-833136.3906,72.52922347,-253152.6976,-208284.0976,n
UCl4(g),n,U,g,-809600,419.00,0.00,600,327,-839857.8106,-793523.4106,69.08069006,-209964.4526,-198380.8526,y
UCl4(s),n,U,s,-1092000,285.80,175.70,600,327,-262193.0709,-2134.470877,0.185817733,-43698.84515,-355.7451462,n
UCl4(g),n,U,g,-1013000,431.00,0.00,600,327,-236254.4709,-63315.87088,5.512003796,-39375.74515,-10552.64515,n
Pa(s),y,Pa,s,0,51.90,,600,327,0,0,0,#DIV/0!,#DIV/0!,n
PaCl4(s),n,Pa,s,-1043000,,0.00,600,327,-1064902.981,-766154.5806,66.69807899,-266225.7451,-191538.6451,y
Th(s),y,Th,s,0,53.39,27.32,600,327,0,0,0,#DIV/0!,#DIV/0!,n
ThCl4(s),n,Th,s,-1186600,190.40,0.00,600,327,-1216753.621,-1031351.221,89.78494277,-304188.4051,-257837.8051,n
ThCl4(g),n,Th,g,-966100,397.50,101.70,600,327,-965540.2206,-904397.8206,78.73293301,-241385.0551,-226099.4551,y
Be(s),y,Be,s,0,9.50,16.44,600,327,0,0,0,#DIV/0!,#DIV/0!,n
BeCl2(s),n,Be,s,-495800,75.81,62.43,600,327,-492862.5103,-398844.3103,34.72164754,-246431.2551,-199422.1551,y
BeCl2(g),n,Be,g,-358600,,0.00,600,327,-374516.3703,-235012.1703,20.45913539,-187258.1851,-117506.0851,n
Mg(s),y,Mg,s,0,32.68,24.89,600,327,0,0,0,#DIV/0!,#DIV/0!,n
MgCl2(s),n,Mg,s,-641320,89.62,71.38,600,327,-638231.5103,-538591.3103,46.88741236,-319115.7551,-269295.6551,n
MgCl2(g),n,Mg,g,-400400,,0.00,600,327,-418868.2703,-265456.0703,23.10944866,-209434.1351,-132728.0351,y
Ca(s),y,Ca,s,0,41.42,25.31,600,327,0,0,0,#DIV/0!,#DIV/0!,n
CaCl2(s),n,Ca,s,-795800,104.60,72.59,600,327,-792472.9303,-696576.7303,60.64093455,-396236.4651,-348288.3651,n
CaCl2(g),n,Ca,g,-471500,290.27,59.33,600,327,-472177.4503,-487683.2503,42.45557851,-236088.7251,-243841.6251,y
Sr(s),y,Sr,s,0,52.30,26.40,600,327,0,0,0,#DIV/0!,#DIV/0!,n
SrCl2(s),n,Sr,s,-828900,114.85,75.60,600,327,-824993.0903,-728718.8903,63.43909093,-412496.5451,-364359.4451,n
SrCl2(g),n,Sr,g,-485800,310.81,55.77,600,327,-487881.7503,-509183.5503,44.32730093,-243940.8751,-254591.7751,y
Ba(s),y,Ba,s,0,62.80,28.07,600,327,0,0,0,#DIV/0!,#DIV/0!,n
BaCl2(s),n,Ba,s,-858600,123.68,75.14,600,327,-855336.3503,-758060.1503,65.99341316,-427668.1751,-379030.0751,n
BaCl2(g),n,Ba,g,-525900,325.29,56.19,600,327,-528359.2503,-552049.0503,48.05898456,-264179.6251,-276024.5251,y
Li(s),y,Li,s,0,29.12,24.77,600,327,0,0,0,#DIV/0!,#DIV/0!,n
LiCl(s),n,Li,s,-408610,59.33,47.99,600,327,-407073.3051,-358297.2051,31.19179327,-407073.3051,-358297.2051,n
LiCl(g),n,Li,g,-195400,212.82,33.22,600,327,-198323.8451,-241644.1451,21.03648622,-198323.8451,-241644.1451,y
Na(s),y,Na,s,0,51.21,28.24,600,327,0,0,0,#DIV/0!,#DIV/0!,n
NaCl(s),n,Na,s,-411153,72.13,50.50,600,327,-409906.2251,-355556.1251,30.95316679,-409906.2251,-355556.1251,n
NaCl(g),n,Na,g,-176650,229.81,35.77,600,327,-179851.6851,-220109.5851,19.16178127,-179851.6851,-220109.5851,y
K(s),y,K,s,0,64.18,29.58,600,327,0,0,0,#DIV/0!,#DIV/0!,n
KCl(s),n,K,s,-436747,82.59,51.30,600,327,-435663.3051,-379807.2051,33.06436013,-435663.3051,-379807.2051,n
KCl(g),n,K,g,-214140,239.10,36.48,600,327,-217531.9451,-255581.8451,22.24984165,-217531.9451,-255581.8451,y
Rb(s),y,Rb,s,0,76.78,31.06,600,327,0,0,0,#DIV/0!,#DIV/0!,n
RbCl(s),n,Rb,s,-435350,95.90,52.38,600,327,-434387.7091,-378957.6091,32.990398,-434387.7091,-378957.6091,n
RbCl(g),n,Rb,g,-228900,249.56,36.82,600,327,-232636.8291,-269402.7291,23.45302758,-232636.8291,-269402.7291,y
Cs(s),y,Cs,s,0,85.23,32.17,600,327,0,0,0,#DIV/0!,#DIV/0!,n
CsCl(s),n,Cs,s,-443040,101.17,52.47,600,327,-442385.1451,-385047.0451,33.52051777,-442385.1451,-385047.0451,n
CsCl(g),n,Cs,g,-240200,255.96,36.94,600,327,-244235.2051,-279771.1051,24.35565321,-244235.2051,-279771.1051,y
Ar(g),y,Ar,g,0,154.73,20.79,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Cl(g),n,Cl,g,121286,165.07,22.33,1000,727,123939.4137,70371.9137,-3.675763281,123939.4137,70371.9137,n
Cl2(g),y,Cl,g,0,223.01,36.66,1000,727,0,0,0,0,0,n
Fe(s),y,Fe,s,0,27.28,30.68,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Fe(g),n,Fe,g,415887,180.85,22.18,1000,727,408764.3381,255199.3381,-13.32992535,#DIV/0!,#DIV/0!,n
FeCl(g),n,Fe,g,251040,257.47,39.84,1000,727,243428.8886,124741.3886,-6.515665012,243428.8886,124741.3886,n
FeCl2(s),n,Fe,s,-341800,118.00,76.70,1000,727,-336549.1509,-204262.1509,10.66930363,-168274.5755,-102131.0755,n
FeCl2(l),n,Fe,l,-311328,139.90,102.17,1000,727,-288195.1049,-177804.1049,9.287310316,-144097.5525,-88902.05246,n
FeCl2(g),n,Fe,g,-141001,299.17,61.73,1000,727,-145826.8534,-194708.8534,10.17030256,-72913.42669,-97354.42669,n
Fe2Cl4(g),n,Fe,g,-431370,464.38,132.09,1000,727,-435314.6938,-399122.6938,20.84752944,-108828.6735,-99780.67346,n
FeCl3(l),n,Fe,l,-362228,201.72,133.89,1000,727,-329772.3441,-169702.8441,8.864154041,-109924.1147,-56567.61471,n
FeCl3(g),n,Fe,g,-253132,344.11,82.30,1000,727,-256689.5514,-239004.0514,12.4839907,-85563.18379,-79668.01712,y
Fe2Cl6(g),n,Fe,g,-654378,537.02,181.52,1000,727,-649679.3434,-463114.3434,24.19002993,-108279.8906,-77185.7239,n
Cr(s),y,Cr,s,0,23.64,27.88,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Cr(g),n,Cr,g,397480,174.20,20.78,1000,727,389707.8605,239149.4605,-12.49158591,#DIV/0!,#DIV/0!,n
CrCl2(l),n,Cr,l,-363171,144.92,83.23,1000,727,-349668.52,-247939.92,12.95074137,-174834.26,-123969.96,n
CrCl2(s),n,Cr,s,-395400,115.30,79.56,1000,727,-385855.9669,-254509.3669,13.29388582,-192927.9834,-127254.6834,n
CrCl2(g),n,Cr,g,-120307,322.49,55.17,1000,727,-127886.5721,-203730.9721,10.64155836,-63943.28603,-101865.486,n
CrCl3(s),n,Cr,s,-556472,123.01,112.47,1000,727,-532971.4352,-297831.3352,15.55673888,-177657.1451,-99277.11174,n
CrCl3(g),n,Cr,g,-292521,353.26,82.81,1000,727,-293978.4306,-289086.3306,15.09995769,-97992.81021,-96362.11021,y
CrCl4(g),n,Cr,g,-427000,,,1000,727,-501177.9013,-31524.30125,1.646620973,-125294.4753,-7881.075313,n
H2(g),y,H,g,0,130.70,28.80,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
HCl(g),n,H,g,-92300,186.90,29.10,1000,727,-94921.76923,-104968.2692,5.482848049,-94921.76923,-104968.2692,y
Ni(s),y,Ni,s,0,29.90,26.10,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Ni(g),n,Ni,g,429700,182.20,23.40,1000,727,427804.6,275504.6,-14.39053792,#DIV/0!,#DIV/0!,n
NiCl2(s),n,Ni,s,-305300,97.70,71.70,1000,727,-299171.1385,-143964.1385,7.51973431,-149585.5692,-71982.06923,y
NiCl2(l),n,Ni,l,,,0.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
NiCl2(g),n,Ni,g,,,0.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
NiCl3(s),n,Ni,s,,,0.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
NiCl3(g),n,Ni,g,,,0.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
NiCl4(s),n,Ni,s,,,0.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
NiCl4(g),n,Ni,g,,,0.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Co(s),y,Co,s,0,30.00,24.80,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Co(g),n,Co,g,424700,179.50,230.00,1000,727,568750.4,419250.4,-21.89886767,#DIV/0!,#DIV/0!,n
CoCl2(s),n,Co,s,-312500,109.20,78.50,1000,727,-300684.9385,-156877.9385,8.194265801,-150342.4692,-78438.96923,y
Mn(s),y,Mn,s,0,32.00,26.30,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Mn(g),n,Mn,g,280700,173.70,20.80,1000,727,276839,135139,-7.058767453,#DIV/0!,#DIV/0!,n
MnCl2(s),n,Mn,s,-481300,118.20,72.90,1000,727,-474469.1385,-337662.1385,17.63723657,-237234.5692,-168831.0692,y
MnCl2(g),n,Mn,g,-263600,,0.00,1000,727,-307944.9385,-52937.93846,2.765127735,-153972.4692,-26468.96923,n
Cu(s),y,Cu,s,0,33.20,24.40,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Cu(g),n,Cu,g,337400,166.40,20.70,1000,727,334802.6,201602.6,-10.53038628,#DIV/0!,#DIV/0!,n
CuCl2(s),n,Cu,s,-220100,108.10,71.90,1000,727,-212637.3385,-64530.33846,3.370638031,-106318.6692,-32265.16923,n
